"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.152388042611151,0.146914230060751,0.137927068782445,10000,0.95,0.0574262939281896,0.25965425525066,0.5,0,0.45,0.55,100,0,0
"theta[2]",0.410755000547652,0.409486180528737,0.412426138112745,10000,0.95,0.289625940385616,0.53833073708736,0.5,8.75,0.45,0.55,72.83,25.39,1.78
"theta[3]",0.739734351695764,0.742428830913604,0.750324785576408,10000,0.95,0.636430247792624,0.835934886746296,0.5,100,0.45,0.55,0,0.0300000000000011,99.97
"theta[1]-theta[2]",-0.2583669579365,-0.259221111456154,-0.271043573695157,10000,0.95,-0.425779896426335,-0.0993241460198202,0,0.09,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.587346309084612,-0.59202058052572,-0.599520774653425,10000,0.95,-0.732680816647149,-0.444795773959367,0,0,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.328979351148112,-0.330517777106735,-0.327150391679336,10000,0.95,-0.486269529048332,-0.164152096994741,0,0,NA,NA,NA,NA,NA
