"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.152709826629437,0.146808598759821,0.138476189344714,9751.2,0.95,0.0600547286694041,0.262827383718067,0.5,0,0.45,0.55,100,0,0
"theta[2]",0.41027290216187,0.408884947390655,0.404516107736673,10000,0.95,0.288915837754952,0.538697133994624,0.5,8.75,0.45,0.55,72.94,25.33,1.73
"theta[3]",0.739901821141849,0.742329556046179,0.748057382223833,9630,0.95,0.640295623282747,0.83735280433249,0.5,100,0.45,0.55,0,0.0300000000000011,99.97
"theta[1]-theta[2]",-0.257563075532433,-0.258894780048104,-0.255448281047321,10000,0.95,-0.416397988365596,-0.0925965742990296,0,0.11,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.587191994512411,-0.590930464497854,-0.599163084818921,9824.6,0.95,-0.72935035122943,-0.442665251537433,0,0,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.329628918979978,-0.331632645488808,-0.339450592114478,10000,0.95,-0.483694743362736,-0.164394352132976,0,0,NA,NA,NA,NA,NA
